BINARY;VERSION;CVE identifier;CVSS rating;exploit db exploit available;metasploit module;trickest PoC;Routersploit;Snyk PoC;Packetstormsecurity PoC;local exploit;remote exploit;DoS exploit;known exploited vuln;kernel vulnerability verified;FIRST EPSS;FIRST PERC;
linux_kernel;2.6.30.9;CVE-2009-3624;4.6 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;5;
linux_kernel;2.6.30.9;CVE-2009-3640;4.9 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;5;
linux_kernel;2.6.30.9;CVE-2009-3722;7.1 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;70;
linux_kernel;2.6.30.9;CVE-2009-3001;4.9 (v2);12;0;0;0/0;0;0;0;0;0;0;no;0;18;
linux_kernel;2.6.30.9;CVE-2009-3043;4.9 (v2);12;0;0;0/0;0;0;0;0;0;0;no;0;10;
linux_kernel;2.6.30.9;CVE-2009-3621;5.5;12;0;0;0/0;0;0;0;0;0;0;no;0;16;
linux_kernel;2.6.30.9;CVE-2009-3725;7.2 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;10;
linux_kernel;2.6.30.9;CVE-2009-4004;7.8;6;0;0;0/0;0;0;0;0;0;0;no;0;5;
linux_kernel;2.6.30.9;CVE-2009-3939;7.1;6;0;0;0/0;0;0;0;0;0;0;no;0;13;
linux_kernel;2.6.30.9;CVE-2009-4021;4.9 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;28;
linux_kernel;2.6.30.9;CVE-2009-3002;4.9 (v2);20;0;0;0/0;0;0;0;0;0;0;no;0;10;
linux_kernel;2.6.30.9;CVE-2009-4005;7.2 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;28;
linux_kernel;2.6.30.9;CVE-2009-4026;7.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;3;91;
linux_kernel;2.6.30.9;CVE-2009-4027;7.1 (v2);6;0;0;0/0;0;0;0;0;0;0;no;5;93;
linux_kernel;2.6.30.9;CVE-2009-4031;7.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;61;
linux_kernel;2.6.30.9;CVE-2009-3726;7.8 (v2);12;0;0;0/0;0;0;0;0;0;0;no;0;69;
linux_kernel;2.6.30.9;CVE-2009-3888;4.9 (v2);12;0;0;0/0;0;0;0;0;0;0;no;0;10;
linux_kernel;2.6.30.9;CVE-2009-4138;4.7 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;10;
linux_kernel;2.6.30.9;CVE-2009-4306;4.9 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;5;
linux_kernel;2.6.30.9;CVE-2009-4307;7.1 (v2);6;0;0;0/0;0;0;0;0;0;0;no;2;90;
linux_kernel;2.6.30.9;CVE-2009-4308;7.1 (v2);6;0;0;0/0;0;0;0;0;0;0;no;5;93;
linux_kernel;2.6.30.9;CVE-2009-4410;4.9 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;5;
linux_kernel;2.6.30.9;CVE-2009-4536;7.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;1;88;
linux_kernel;2.6.30.9;CVE-2009-4537;7.8 (v2);6;0;0;0/0;0;0;0;0;0;0;no;5;93;
linux_kernel;2.6.30.9;CVE-2009-4131;7.2 (v2);12;0;0;0/0;0;0;0;0;0;0;no;0;0;
linux_kernel;2.6.30.9;CVE-2009-3547;7.0;44;0;0;0/0;0;3;0;0;0;0;no;0;5;
linux_kernel;2.6.30.9;CVE-2009-4538;10.0 (v2);6;0;0;0/0;0;0;0;0;0;0;no;0;77;
linux_kernel;2.6.30.9;CVE-2009-4895;4.7;6;0;0;0/0;0;0;0;0;0;0;no;0;5;
